Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,83.379997,84.330002,83.190002,83.430000,81.869217,1256400
2022-07-07,83.510002,83.879997,82.290001,82.680000,81.133255,967700
2022-07-08,82.309998,83.150002,81.809998,82.070000,80.896683,686900
2022-07-11,82.160004,83.080002,82.040001,82.330002,81.152969,890700
2022-07-12,82.320000,83.470001,81.919998,82.260002,81.083969,842700
2022-07-13,82.000000,83.559998,81.540001,83.120003,81.931679,1070500
2022-07-14,82.000000,83.059998,81.779999,82.430000,81.251534,1044200
2022-07-15,82.919998,82.919998,81.480003,81.739998,80.571404,1299900
2022-07-18,81.680000,81.919998,80.889999,80.949997,79.792686,1382900
2022-07-19,81.419998,82.160004,81.139999,81.959999,80.788254,1307600
2022-07-20,82.360001,82.510002,81.519997,82.010002,80.837540,976200
2022-07-21,82.029999,83.029999,81.809998,83.000000,81.813385,968500
2022-07-22,84.050003,84.739998,83.410004,84.110001,82.907516,1212800
2022-07-25,84.000000,85.489998,83.800003,84.570000,83.360939,946000
2022-07-26,83.660004,84.980003,83.040001,84.849998,83.636940,919600
2022-07-27,84.680000,85.610001,83.440002,85.400002,84.179077,942700
2022-07-28,85.440002,87.620003,85.180000,87.529999,86.278618,1182100
2022-07-29,86.980003,87.779999,86.650002,87.349998,86.101196,2344400
2022-08-01,86.919998,88.000000,86.910004,87.730003,86.475761,1243000
2022-08-02,88.190002,88.940002,87.150002,88.370003,87.106621,1052000
2022-08-03,88.339996,88.550003,87.650002,88.410004,87.146049,986500
2022-08-04,88.389999,88.919998,88.000000,88.290001,87.027756,804300
2022-08-05,87.839996,88.370003,87.050003,88.330002,87.067192,810700
2022-08-08,88.809998,89.589996,88.610001,89.180000,87.905029,844000
2022-08-09,90.000000,90.660004,89.430000,90.320000,89.028740,749400
2022-08-10,91.019997,91.040001,89.230003,89.809998,88.526024,796200
2022-08-11,90.239998,90.820000,89.419998,89.629997,88.348595,865200
2022-08-12,90.180000,90.720001,89.370003,90.669998,89.373734,800800
2022-08-15,90.690002,91.949997,90.309998,91.849998,90.536865,698500
2022-08-16,91.629997,92.970001,91.629997,92.470001,91.148003,832000
2022-08-17,92.449997,93.000000,92.320000,92.580002,91.256432,1073200
2022-08-18,92.620003,93.000000,91.410004,92.070000,90.753708,759400
2022-08-19,92.059998,92.230003,91.199997,91.779999,90.467865,1031300
2022-08-22,91.669998,91.669998,89.870003,90.339996,89.048447,698300
2022-08-23,90.139999,90.139999,88.570000,89.029999,87.757179,845100
2022-08-24,89.309998,89.360001,88.430000,88.820000,87.550179,834400
2022-08-25,88.860001,89.279999,88.260002,89.040001,87.767036,612100
2022-08-26,88.980003,89.050003,86.480003,86.599998,85.361916,752000
2022-08-29,86.000000,86.529999,85.180000,85.870003,84.642357,1063600
2022-08-30,85.769997,85.900002,84.470001,84.769997,83.558083,887800
2022-08-31,84.910004,85.239998,83.949997,84.070000,82.868088,1412200
2022-09-01,83.669998,84.970001,83.029999,84.790001,83.577797,1081900
2022-09-02,85.260002,85.620003,82.589996,83.050003,81.862671,988000
2022-09-06,83.220001,83.519997,81.830002,82.199997,81.024826,1065000
2022-09-07,82.260002,85.070000,82.190002,85.000000,83.784790,1130300
2022-09-08,78.980003,80.489998,77.669998,79.300003,78.166290,3878100
2022-09-09,79.510002,80.900002,77.940002,79.889999,78.747849,1890700
2022-09-12,80.000000,81.570000,79.730003,81.410004,80.246117,1579300
2022-09-13,80.849998,81.110001,79.260002,79.480003,78.343719,1601500
2022-09-14,79.510002,80.000000,79.050003,79.410004,78.274712,1574900
2022-09-15,79.320000,79.620003,78.480003,78.510002,77.387581,1243600
2022-09-16,78.480003,79.209999,77.809998,79.139999,78.008568,2166600
2022-09-19,79.290001,79.389999,78.029999,78.860001,77.732567,1010600
2022-09-20,78.559998,78.790001,77.139999,77.360001,76.254028,1178500
2022-09-21,77.769997,78.889999,77.290001,77.300003,76.194878,1263900
2022-09-22,77.290001,77.529999,76.620003,76.669998,75.573883,1010000
2022-09-23,76.070000,76.300003,74.959999,76.029999,74.943031,971700
2022-09-26,75.910004,76.180000,74.930000,75.360001,74.282616,1057200
2022-09-27,75.650002,76.480003,74.180000,74.449997,73.385620,1195700
2022-09-28,74.860001,75.500000,73.919998,75.040001,73.967186,1333500
2022-09-29,74.989998,74.989998,72.959999,73.510002,72.459061,1326800
2022-09-30,73.680000,73.940002,71.190002,71.269997,70.251083,1612700
2022-10-03,72.059998,72.690002,71.190002,72.410004,71.374794,1314100
2022-10-04,72.690002,74.540001,72.580002,74.430000,73.365906,1444500
2022-10-05,73.830002,73.970001,71.760002,73.309998,72.261917,1859000
2022-10-06,74.129997,77.970001,72.199997,72.430000,71.394508,2635000
2022-10-07,72.180000,74.089996,71.949997,73.440002,72.761757,1986600
2022-10-10,73.980003,76.139999,73.809998,75.860001,75.159401,1962500
2022-10-11,75.730003,76.940002,75.370003,75.839996,75.139587,1916500
2022-10-12,76.160004,76.360001,74.459999,74.480003,73.792152,1356100
2022-10-13,73.370003,75.400002,73.019997,74.870003,74.178551,1492900
2022-10-14,75.230003,75.820000,73.349998,73.540001,72.860832,1047300
2022-10-17,74.070000,74.519997,73.110001,73.629997,72.949997,1102600
2022-10-18,74.639999,75.669998,74.099998,74.610001,73.920952,1065600
2022-10-19,74.800003,75.739998,74.220001,74.690002,74.000214,1112800
2022-10-20,74.519997,75.139999,72.750000,72.790001,72.117760,1156700
2022-10-21,72.580002,73.919998,72.070000,73.839996,73.158058,1114600
2022-10-24,74.449997,75.230003,73.580002,74.500000,73.811966,938800
2022-10-25,74.529999,76.370003,74.269997,76.129997,75.426903,1138900
2022-10-26,76.379997,77.160004,75.580002,76.400002,75.694420,1090800
2022-10-27,76.739998,78.470001,76.610001,77.620003,76.903152,1129900
2022-10-28,77.760002,79.489998,77.010002,79.199997,78.468552,1355500
2022-10-31,79.220001,79.459999,78.470001,78.639999,77.913727,1848400
2022-11-01,78.879997,79.629997,78.269997,78.589996,77.864189,896400
2022-11-02,78.510002,79.419998,77.120003,77.230003,76.516754,1062600
2022-11-03,76.419998,77.449997,75.669998,76.760002,76.051102,884900
2022-11-04,77.349998,79.620003,77.089996,79.019997,78.290222,1466000
2022-11-07,79.349998,80.139999,78.540001,79.940002,79.201729,1020700
2022-11-08,80.239998,81.680000,79.550003,80.699997,79.954704,1082000
2022-11-09,80.800003,81.269997,79.110001,79.209999,78.478462,1006100
2022-11-10,81.349998,82.190002,79.620003,81.860001,81.103996,1464300
2022-11-11,81.889999,84.099998,80.059998,83.769997,82.996353,1818700
2022-11-14,83.900002,84.400002,82.750000,82.750000,81.985771,1082200
2022-11-15,83.709999,84.870003,82.889999,83.650002,82.877457,1274500
2022-11-16,83.940002,84.559998,82.489998,83.650002,82.877457,1011500
2022-11-17,83.000000,83.440002,81.839996,83.120003,82.352364,1127600
2022-11-18,83.959999,83.959999,82.800003,83.760002,82.986450,997000
